record_id,parcel_id_raw,parcel_id_clean,parcel_id_type,flag_category,flag_reason,current_holder,prior_party,location,area,commission_recommendation,source_volume,source_page,flag_source_csv,notes,forest,reserved_use,current_use,allottee_id,allottee_address,legal_gazette_notice,registration_date,title_issue_date,status,needs_manual_review
annex_03_karura_forest_excision_0029,21302 IR.68714 CF175997,21302,plot,forest_excision_allotment,Plot allocated in excised Karura Forest,MTAA HOLDINGS LTD,Craise Holdings Ltd /1st Nov. 95,Karura,3.0ha,Revoke Title,2,38,annex_03_karura_forest_excision.csv,,Karura,Karura Forest,Residential,,,Commissioner of Lands,,,,1
annex_03_karura_forest_excision_0030,21303,21303,plot,forest_excision_allotment,Plot allocated in excised Karura Forest,,N/A /1st Nov 95,Karura,1.0ha,Revoke Title,2,38,annex_03_karura_forest_excision.csv,,Karura,Karura Forest,Residential,,,Commissioner of Lands,,,,0
annex_03_karura_forest_excision_0031,21304,21304,plot,forest_excision_allotment,Plot allocated in excised Karura Forest,,N/A /1st Nov. 95 Abaco International (K) Ltd,Karura,1.0ha,Revoke Title,2,38,annex_03_karura_forest_excision.csv,,Karura,Karura Forest,Residential,,,Commissioner of Lands,,,,0
annex_03_karura_forest_excision_0032,21305 IR67948,21305,plot,forest_excision_allotment,Plot allocated in excised Karura Forest,AKASH ENTERPRISES,Ballistic Missile Investments Ltd. / 1st Nov. 95. Directors:- Reuben Maina and Susan Maina both of Box 7666 Nairobi.,Karura,0.80ha,Revoke Title,2,38,annex_03_karura_forest_excision.csv,,Karura,Karura Forest,Residential,,,Commissioner of Lands,,,,1
annex_03_karura_forest_excision_0033,21306 IR.67950,21306,plot,forest_excision_allotment,Plot allocated in excised Karura Forest,PATS HOLDINGS LTD,Reaserch Management Services /1st Nov. 95,Karura,0.8740ha,Revoke Title,2,38,annex_03_karura_forest_excision.csv,,Karura,Karura Forest,Residential,,,Commissioner of Lands,,,,1
annex_03_karura_forest_excision_0034,21307 IR.69736 CF 183311,21307,plot,forest_excision_allotment,Plot allocated in excised Karura Forest,NARENDRE GUASAR SHAH,Narendre Guasar Shah 1st Nov 95,Karura,0.8032ha,Revoke Title,2,39,annex_03_karura_forest_excision.csv,,Karura,Karura Forest,Residential,,,Commissioner of Lands,,,,1
annex_03_karura_forest_excision_0035,21308 IR 70470 CF175982,21308,plot,forest_excision_allotment,Plot allocated in excised Karura Forest,MOLAR INVESTMENTS LTD,Catalogue Afrique Ltd /1st Nov. 95. Directors:- Contantine Chelimo Seroney and Bearice Jepkekmboi Maitsi both of Box 72245 Nairobi.,Karura,0.8032ha,Revoke Title,2,39,annex_03_karura_forest_excision.csv,,Karura,Karura Forest,Residential,,,Commissioner of Lands,,,,1
annex_03_karura_forest_excision_0036,21309 CF 176005,21309,plot,forest_excision_allotment,Plot allocated in excised Karura Forest,K. K. UNITED TECHNOLOGIES LTD,K. K. United Technologies Ltd /1st Nov. 95,Karura,0.8032ha,Revoke Title,2,39,annex_03_karura_forest_excision.csv,,Karura,Karura Forest,Residential,,,Commissioner of Lands,,,,1
annex_03_karura_forest_excision_0037,21310 IR 69474 CF176006,21310,plot,forest_excision_allotment,Plot allocated in excised Karura Forest,MARIGNANE AIR FRET (K) LTD,Marignane Air Fret (K) Ltd /1st Nov. 95. Directors:- Veronica Evelyn Kuto of Box 1530 Thika Jepkemboi Serem and Sarah Jepkemboi Serem of Box 67886 Nairobi,Karura,0.8031ha,Revoke Title,2,39,annex_03_karura_forest_excision.csv,,Karura,Karura Forest,Residential,,,Commissioner of Lands,,,,1
annex_03_karura_forest_excision_0038,21311 IR 69150 CF 176004,21311,plot,forest_excision_allotment,Plot allocated in excised Karura Forest,MANSUR DHARANI & DANLAT DHARANI,Investcope Holdings Limited /1st Nov 95,Karura,0.8031ha,Revoke Title,2,39,annex_03_karura_forest_excision.csv,,Karura,Karura Forest,Residential,,,Commissioner of Lands,,,,1
annex_03_karura_forest_excision_0039,21312,21312,plot,forest_excision_allotment,Plot allocated in excised Karura Forest,,Patek enterprices Ltd N/A /1st Nov. 95,Karura,0.8027ha,Revoke Title,2,40,annex_03_karura_forest_excision.csv,,Karura,Karura Forest,Residential,,,Commissioner of Lands,,,,0
annex_03_karura_forest_excision_0040,21313,21313,plot,forest_excision_allotment,Plot allocated in excised Karura Forest,,Kamulwe Agencies Ltc N/A /1st Nov. 95,Karura,0.8ha,Revoke Title,2,40,annex_03_karura_forest_excision.csv,,Karura,Karura Forest,Residential,,,Commissioner of Lands,,,,0
annex_03_karura_forest_excision_0041,21318,21318,plot,forest_excision_allotment,Plot allocated in excised Karura Forest,Niagara Base Metallic Ltd,Niagara Base Metallic Ltc /13th Dec. 95,Karura,0.66ha,Revoke Title,2,40,annex_03_karura_forest_excision.csv,,Karura,Karura Forest,Residential,,,Commissioner of Lands,,,,0
annex_03_karura_forest_excision_0042,21319,21319,plot,forest_excision_allotment,Plot allocated in excised Karura Forest,Mountpellies Holdings Ltd,Mountpellies Holdings Ltc /13th Dec. 95,Karura,1.0 Ha,Revoke Title,2,40,annex_03_karura_forest_excision.csv,,Karura,Karura Forest,Residential,,,Commissioner of Lands,,,,0
annex_03_karura_forest_excision_0043,2 1320,2,plot,forest_excision_allotment,Plot allocated in excised Karura Forest,Beluga Developers Ltd,Beluga Developers Ltc /13th Dec. 95,Karura,0.80 Ha,Revoke Title,2,40,annex_03_karura_forest_excision.csv,,Karura,Karura Forest,Residential,,,Commissioner of Lands,,,,1
annex_03_karura_forest_excision_0044,21321,21321,plot,forest_excision_allotment,Plot allocated in excised Karura Forest,Avalon Consultancy Ltd,Avalon Consultancy Ltc /13th Dec. 95,Karura,0.8 Ha,Revoke Title,2,40,annex_03_karura_forest_excision.csv,,Karura,Karura Forest,Residential,,,Commissioner of Lands,,,,0
annex_03_karura_forest_excision_0045,21322 IR.69149,21322,plot,forest_excision_allotment,Plot allocated in excised Karura Forest,Mansur Dharani & Others,Kagumo Holdings Ltd /13hd Ec. 95,Karura,0.80 Ha,Revoke Title,2,40,annex_03_karura_forest_excision.csv,,Karura,Karura Forest,Residential,,,Commissioner of Lands,,,,1
annex_03_karura_forest_excision_0046,21323 IR 74709,21323,plot,forest_excision_allotment,Plot allocated in excised Karura Forest,Biarrtiz Colours Ltd,Biarrtiz Colours Ltd / 13th Dec 95 Directors - Timothy Sasakah Godwin Makinda and Julia Isoyi Makinda both of Box 62792 Nairobi,Karura,0.80ha,Revoke Title,2,41,annex_03_karura_forest_excision.csv,,Karura,Karura Forest,Residential,,,Commissioner of Lands,,,,1
annex_03_karura_forest_excision_0047,21324 IR.68638,21324,plot,forest_excision_allotment,Plot allocated in excised Karura Forest,Coonistm Centre Ltd,Coonistm Centre Ltd /13th Dec. 95,Karura,1.1152 Ha,Revoke Title,2,41,annex_03_karura_forest_excision.csv,,Karura,Karura Forest,Residential,,,Commissioner of Lands,,,,1
annex_03_karura_forest_excision_0048,21325,21325,plot,forest_excision_allotment,Plot allocated in excised Karura Forest,D.B. Dhrona,Portfino Developers Ltd /13th Dec. 95,Karura,2.203 Ha,Revoke Title,2,41,annex_03_karura_forest_excision.csv,,Karura,Karura Forest,Residential,,,Commissioner of Lands,,,,0
annex_03_karura_forest_excision_0049,21326,21326,plot,forest_excision_allotment,Plot allocated in excised Karura Forest,Umakant Manokal Khamar,Lyornaise Developerd Ltd /13th Dec. 95,Karura,2.3087 Ha,Revoke Title,2,41,annex_03_karura_forest_excision.csv,,Karura,Karura Forest,Residential,,,Commissioner of Lands,,,,0
annex_03_karura_forest_excision_0050,21327 IR.68235,21327,plot,forest_excision_allotment,Plot allocated in excised Karura Forest,Noordin Alibhai Nathoo & Another,Yatin Vinubai Kotak /13th Dec. 95,Karura,2.833 Ha,Revoke Title,2,41,annex_03_karura_forest_excision.csv,,Karura,Karura Forest,Residential,,,Commissioner of Lands,,,,1
annex_03_karura_forest_excision_0051,21328 IR.68102,21328,plot,forest_excision_allotment,Plot allocated in excised Karura Forest,"Kanti, Shamji Pindoma & Another",Kanti Shamji Pindoma & Another /13thdec 95,Karura,2.0ha,Revoke Title,2,41,annex_03_karura_forest_excision.csv,,Karura,Karura Forest,Residential,,,Commissioner of Lands,,,,1
annex_03_karura_forest_excision_0052,21329 IR.68103,21329,plot,forest_excision_allotment,Plot allocated in excised Karura Forest,Vijay Development Ltd,Kanti Shamji Pindoma & Another 13th Dec 95,Karura,2.0 Ha,Revoke Title,2,42,annex_03_karura_forest_excision.csv,,Karura,Karura Forest,Residential,,,Commissioner of Lands,,,,1
annex_03_karura_forest_excision_0053,21330,21330,plot,forest_excision_allotment,Plot allocated in excised Karura Forest,Erba Ltd,Erba Ltd /13th Dec. 95,Karura,1.903ha,Revoke Title,2,42,annex_03_karura_forest_excision.csv,,Karura,Karura Forest,Residential,,,Commissioner of Lands,,,,0
annex_03_karura_forest_excision_0054,21331,21331,plot,forest_excision_allotment,Plot allocated in excised Karura Forest,Erba Ltd,Erba Ltd /13th Dec. 95,Karura,2.119ha,Revoke Title,2,42,annex_03_karura_forest_excision.csv,,Karura,Karura Forest,Residential,,,Commissioner of Lands,,,,0
annex_03_karura_forest_excision_0055,21332 IR.67968,21332,plot,forest_excision_allotment,Plot allocated in excised Karura Forest,Wanao Enterprises Ltd,Wanao Enterprises Ltd /5th Dec. 95,Karura,3.0ha,Revoke Title,2,42,annex_03_karura_forest_excision.csv,,Karura,Karura Forest,Residential,,,Commissioner of Lands,,,,1
annex_03_karura_forest_excision_0056,21333 IR.67969,21333,plot,forest_excision_allotment,Plot allocated in excised Karura Forest,Kama Agencies Ltd,Kama Agencies Ltd /5th Dec. 95,Karura,3.0ha,Revoke Title,2,42,annex_03_karura_forest_excision.csv,,Karura,Karura Forest,Residential,,,Commissioner of Lands,,,,1
annex_03_karura_forest_excision_0057,21334,21334,plot,forest_excision_allotment,Plot allocated in excised Karura Forest,Dorea Roses Investments Ltd,Dorea Roses Investments Ltd /5th Dec. 95. Directors:- John Kisorio and Sammy Boit both of Box 61863 Nairobi,Karura,2.0ha,Revoke Title,2,42,annex_03_karura_forest_excision.csv,,Karura,Karura Forest,Residential,,,Commissioner of Lands,,,,0
annex_03_karura_forest_excision_0058,21335,21335,plot,forest_excision_allotment,Plot allocated in excised Karura Forest,Dorea Roses Investments Ltd,Dorea Roses Investments Ltd /5th Dec. 95. Directors:- John Kisono and Sammy Boit both of Box 61863 Nairobi.,Karura,2.0ha,Revoke Title,2,43,annex_03_karura_forest_excision.csv,,Karura,Karura Forest,Residential,,,Commissioner of Lands,,,,0
annex_03_karura_forest_excision_0059,21336,21336,plot,forest_excision_allotment,Plot allocated in excised Karura Forest,Royal Holding Co. Ltd,Royal Co. Ltd /5th Dec. 95,Karura,2.0ha,Revoke Title,2,43,annex_03_karura_forest_excision.csv,,Karura,Karura Forest,Residential,,,Commissioner of Lands,,,,0
annex_03_karura_forest_excision_0060,21337,21337,plot,forest_excision_allotment,Plot allocated in excised Karura Forest,Inno Pacific Developers Ltd,Inno Pacific Developers Ltd /5th Dec. 95,Karura,2.0ha,Revoke Title,2,43,annex_03_karura_forest_excision.csv,,Karura,Karura Forest,Residential,,,Commissioner of Lands,,,,0
annex_03_karura_forest_excision_0061,21338 IR.67965,21338,plot,forest_excision_allotment,Plot allocated in excised Karura Forest,Aspen Developers Co. Ltd,"Aspen Developers Co. Ltd /5th Dec. 95. Directors:- Samuel Kanyeki; Charles Mwangi, Box 48180, Nairobi",Karura,2.0ha,Revoke Title,2,43,annex_03_karura_forest_excision.csv,,Karura,Karura Forest,Residential,,,Commissioner of Lands,,,,1
annex_03_karura_forest_excision_0062,21339 IR.67967,21339,plot,forest_excision_allotment,Plot allocated in excised Karura Forest,Epson Green Developers Ltd,Epson Green Developers Ltd /5th Dec. 95,Karura,2.0ha,Revoke Title,2,43,annex_03_karura_forest_excision.csv,,Karura,Karura Forest,Residential,,,Commissioner of Lands,,,,1
annex_03_karura_forest_excision_0063,21340 IR.67964,21340,plot,forest_excision_allotment,Plot allocated in excised Karura Forest,Falmak Enterprises Ltd,Falmak Enterprises Ltd /5th Dec. 95,Karura,2.0ha,Revoke Title,2,43,annex_03_karura_forest_excision.csv,,Karura,Karura Forest,Residential,,,Commissioner of Lands,,,,1
annex_03_karura_forest_excision_0064,21341 IR 67966,21341,plot,forest_excision_allotment,Plot allocated in excised Karura Forest,Roman Bronze Enterprises Ltd,"Roman Bronze Enterprises Ltd /5th Dec. 95. Directors - Brenard Gathithi of Box 48150, Nairobi and Herbert Nyambo of Box 620, Voi",Karura,2.0ha,Revoke Title,2,44,annex_03_karura_forest_excision.csv,,Karura,Karura Forest,Residential,,,Commissioner of Lands,,,,1
annex_03_karura_forest_excision_0065,21342,21342,plot,forest_excision_allotment,Plot allocated in excised Karura Forest,Silk Investment S Ltd,Silk Investment S Ltd / 1st Oct 1995,Karura,2.0ha,Revoke Title,2,44,annex_03_karura_forest_excision.csv,,Karura,Karura Forest,Residential,,,Commissioner of Lands,,,,0
annex_03_karura_forest_excision_0066,21343 IR.68353,21343,plot,forest_excision_allotment,Plot allocated in excised Karura Forest,Silk Investment S Ltd,Silk Investment S Ltd / 1st Oct 1995,Karura,2.0ha,Revoke Title,2,44,annex_03_karura_forest_excision.csv,,Karura,Karura Forest,Residential,,,Commissioner of Lands,,,,1
annex_03_karura_forest_excision_0067,21344 IR.69905,21344,plot,forest_excision_allotment,Plot allocated in excised Karura Forest,Blue Shield Insurance Co. Ltd,"Malan Limited /5th Dec. 95. Directors: - Francis Ngok and Alfred Rop, all of Box 30520 Nairobi",Karura,2.9ha,Revoke Title,2,44,annex_03_karura_forest_excision.csv,,Karura,Karura Forest,Residential,,,Commissioner of Lands,,,,1
annex_03_karura_forest_excision_0068,21345 IR.69906,21345,plot,forest_excision_allotment,Plot allocated in excised Karura Forest,Kabuito Contractors Ltd,"Malan Limited /5th Dec. 95 Directors: - Francis Ngok and Alfred Rop, all of Box 30520 Nairobi",Karura,2.941ha,Revoke Title,2,44,annex_03_karura_forest_excision.csv,,Karura,Karura Forest,Residential,,,Commissioner of Lands,,,,1
annex_03_karura_forest_excision_0069,22599,22599,plot,forest_excision_allotment,Plot allocated in excised Karura Forest,Gipere Enterprises,Gipere Enterprises /16th April 97,Karura,0.796ha,Revoke Title,2,45,annex_03_karura_forest_excision.csv,,Karura,Karura Forest,Residential,,,Commissioner of Lands,,,,0
annex_03_karura_forest_excision_0070,22600,22600,plot,forest_excision_allotment,Plot allocated in excised Karura Forest,Pesal Enterprises,Pesal Enterprises /16th April 97,Karura,0.80ha,Revoke Title,2,45,annex_03_karura_forest_excision.csv,,Karura,Karura Forest,Residential,,,Commissioner of Lands,,,,0
annex_03_karura_forest_excision_0071,22601,22601,plot,forest_excision_allotment,Plot allocated in excised Karura Forest,Oak Enterprises,Oak Enterprises /16th April 97,Karura,0.7964ha,Revoke Title,2,45,annex_03_karura_forest_excision.csv,,Karura,Karura Forest,Residential,,,Commissioner of Lands,,,,0
annex_03_karura_forest_excision_0072,22602,22602,plot,forest_excision_allotment,Plot allocated in excised Karura Forest,Capital Regional Properties Ltd,Capital Regional Prop. Ltd /16th April 97,Karura,0.7964ha,Revoke Title,2,45,annex_03_karura_forest_excision.csv,,Karura,Karura Forest,Residential,,,Commissioner of Lands,,,,0
annex_03_karura_forest_excision_0073,22603,22603,plot,forest_excision_allotment,Plot allocated in excised Karura Forest,Kozi Investment Ltd,Kozi Investment Ltd /16th April 97,Karura,0.80ha,Revoke Title,2,45,annex_03_karura_forest_excision.csv,,Karura,Karura Forest,Residential,,,Commissioner of Lands,,,,0
annex_03_karura_forest_excision_0074,22604,22604,plot,forest_excision_allotment,Plot allocated in excised Karura Forest,Kozi Investment Ltd,Kozi Investment Ltd /16th April 97,Karura,0.7964ha,Revoke Title,2,45,annex_03_karura_forest_excision.csv,,Karura,Karura Forest,Residential,,,Commissioner of Lands,,,,0
annex_03_karura_forest_excision_0075,22605,22605,plot,forest_excision_allotment,Plot allocated in excised Karura Forest,Malan Limited,"Malan Limited /16th April 97. Francis Ngok and Alfred Rop, all of Box 30520 Nairobi",Karura,0.9764ha,Revoke Title,2,46,annex_03_karura_forest_excision.csv,,Karura,Karura Forest,Residential,,,Commissioner of Lands,,,,0
annex_03_karura_forest_excision_0076,22606,22606,plot,forest_excision_allotment,Plot allocated in excised Karura Forest,Malan Limited,"Malan Limited /16th April 97. Francis Ngok and Alfred Rop, all of Box 30520 Nairobi",Karura,0.7964ha,Revoke Title,2,46,annex_03_karura_forest_excision.csv,,Karura,Karura Forest,Residential,,,Commissioner of Lands,,,,0
annex_03_karura_forest_excision_0077,22801,22801,plot,forest_excision_allotment,Plot allocated in excised Karura Forest,N/A,N/A,Karura,5.64ha,Revoke Title,2,46,annex_03_karura_forest_excision.csv,,Karura,Karura Forest,Residential,,,Commissioner of Lands,,,,0
annex_03_karura_forest_excision_0078,22802,22802,plot,forest_excision_allotment,Plot allocated in excised Karura Forest,N/A,N/A,Karura,20.24ha,Revoke Title,2,46,annex_03_karura_forest_excision.csv,,Karura,Karura Forest,Residential,,,Commissioner of Lands,,,,0
annex_03_karura_forest_excision_0079,22820,22820,plot,forest_excision_allotment,Plot allocated in excised Karura Forest,Dayax Investments Ltd,Dayax Investments Ltd /12th Feb,Karura,1.705ha,Revoke Title,2,46,annex_03_karura_forest_excision.csv,,Karura,Karura Forest,Residential,,,Commissioner of Lands,,,,0
annex_03_karura_forest_excision_0080,22821,22821,plot,forest_excision_allotment,Plot allocated in excised Karura Forest,Nexus Holdings Ltd,"Nexus Holdings Ltd. Directors:- Senator Registrars LTD of Box 19782 Nairobi and Phoenix Regisrars LTD Box 41935, 81804 Nairobi",Karura,1.300ha,Revoke Title,2,46,annex_03_karura_forest_excision.csv,,Karura,Karura Forest,Residential,,,Commissioner of Lands,,,,0
annex_03_karura_forest_excision_0081,22822,22822,plot,forest_excision_allotment,Plot allocated in excised Karura Forest,Al-Jazeera Investments,Al-Jazeera Investments,Karura,0.8888ha,Revoke Title,2,46,annex_03_karura_forest_excision.csv,,Karura,Karura Forest,Residential,,,Commissioner of Lands,,,,0
annex_03_karura_forest_excision_0082,22823,22823,plot,forest_excision_allotment,Plot allocated in excised Karura Forest,,,Karura,1.578ha,Revoke Title,2,47,annex_03_karura_forest_excision.csv,,Karura,Karura Forest,Residential,,,Commissioner of Lands,,,,0
