record_id,parcel_id_raw,parcel_id_clean,parcel_id_type,flag_category,flag_reason,current_holder,prior_party,location,area,commission_recommendation,source_volume,source_page,flag_source_csv,notes,key_scope,parcel_display,needs_manual_review
annex_45_school_0011,Kirinyaga,,unknown,school_land_grabbed,Public school land grabbed: Kirinyaga,Ndorome Pry,,Central Province,18.00,Revoke,1,648,annex_45_ministry_of_education_science_technology.csv,,none,School land: Kirinyaga — held by Ndorome Pry,1
annex_45_school_0012,Kirinyaga,,unknown,school_land_grabbed,Public school land grabbed: Kirinyaga,Individual Muriithi Njenge,,Central Province,13.00,Revoke,1,648,annex_45_ministry_of_education_science_technology.csv,,none,School land: Kirinyaga — held by Individual Muriithi Njenge,1
annex_45_school_0013,Kirinyaga,,unknown,school_land_grabbed,Public school land grabbed: Kirinyaga,Getuya Pry,,Central Province,,Revoke,1,648,annex_45_ministry_of_education_science_technology.csv,,none,School land: Kirinyaga — held by Getuya Pry,1
annex_45_school_0014,Maragua,,unknown,school_land_grabbed,Public school land grabbed: Maragua,Aipca,,Central Province,12.00,Revoke,1,648,annex_45_ministry_of_education_science_technology.csv,,none,School land: Maragua — held by Aipca,1
annex_45_school_0015,Maragua,,unknown,school_land_grabbed,Public school land grabbed: Maragua,Aipca Kariko Church,,Central Province,,Revoke,1,648,annex_45_ministry_of_education_science_technology.csv,,none,School land: Maragua — held by Aipca Kariko Church,1
annex_45_school_0016,Maragua,,unknown,school_land_grabbed,Public school land grabbed: Maragua,John Kinuthia,,Central Province,5.00,Revoke,1,648,annex_45_ministry_of_education_science_technology.csv,,none,School land: Maragua — held by John Kinuthia,1
annex_45_school_0017,Maragua,,unknown,school_land_grabbed,Public school land grabbed: Maragua,Gikigie Pry,,Central Province,,Revoke,1,648,annex_45_ministry_of_education_science_technology.csv,,none,School land: Maragua — held by Gikigie Pry,1
annex_45_school_0018,Maragua,,unknown,school_land_grabbed,Public school land grabbed: Maragua,Kigumo Pry,,Central Province,,Revoke,1,648,annex_45_ministry_of_education_science_technology.csv,,none,School land: Maragua — held by Kigumo Pry,1
annex_45_school_0019,Maragua,,unknown,school_land_grabbed,Public school land grabbed: Maragua,Kariuki Njunguna,,Central Province,7.00,Revoke,1,649,annex_45_ministry_of_education_science_technology.csv,,none,School land: Maragua — held by Kariuki Njunguna,1
annex_45_school_0020,Maragua,,unknown,school_land_grabbed,Public school land grabbed: Maragua,Gichuhi Macharia,,Central Province,7.00,Revoke,1,649,annex_45_ministry_of_education_science_technology.csv,,none,School land: Maragua — held by Gichuhi Macharia,1
annex_45_school_0021,Nyandarua,,unknown,school_land_grabbed,Public school land grabbed: Nyandarua,Joseph Gakuu & Johana Karanja,,Central Province,4.00,Revoke,1,649,annex_45_ministry_of_education_science_technology.csv,,none,School land: Nyandarua — held by Joseph Gakuu & Johana Karanja,1
annex_45_school_0022,Nyandarua,,unknown,school_land_grabbed,Public school land grabbed: Nyandarua,Julius Kariuki Mwaniki,,Central Province,16.00,Revoke,1,649,annex_45_ministry_of_education_science_technology.csv,,none,School land: Nyandarua — held by Julius Kariuki Mwaniki,1
annex_45_school_0023,Nyandarua,,unknown,school_land_grabbed,Public school land grabbed: Nyandarua,J.W. Rukungu,,Central Province,,Revoke,1,649,annex_45_ministry_of_education_science_technology.csv,,none,School land: Nyandarua — held by J.W. Rukungu,1
annex_45_school_0024,Nyandarua,,unknown,school_land_grabbed,Public school land grabbed: Nyandarua,Chege Macharia Plot No. 174,,Central Province,,Revoke,1,649,annex_45_ministry_of_education_science_technology.csv,,none,School land: Nyandarua — held by Chege Macharia Plot No. 174,1
annex_45_school_0025,Nyandarua,,unknown,school_land_grabbed,Public school land grabbed: Nyandarua,Neighbours,,Central Province,,Revoke,1,649,annex_45_ministry_of_education_science_technology.csv,,none,School land: Nyandarua — held by Neighbours,1
annex_45_school_0026,Nyandarua,,unknown,school_land_grabbed,Public school land grabbed: Nyandarua,Peter Mwangi Wamburi,,Central Province,11.00,Revoke,1,649,annex_45_ministry_of_education_science_technology.csv,,none,School land: Nyandarua — held by Peter Mwangi Wamburi,1
annex_45_school_0027,Nyandarua,,unknown,school_land_grabbed,Public school land grabbed: Nyandarua,Former Councillor,,Central Province,3.00,Revoke,1,649,annex_45_ministry_of_education_science_technology.csv,,none,School land: Nyandarua — held by Former Councillor,1
annex_45_school_0028,Nyandarua,,unknown,school_land_grabbed,Public school land grabbed: Nyandarua,John Macharia Mw Angi,,Central Province,11.00,Revoke,1,649,annex_45_ministry_of_education_science_technology.csv,,none,School land: Nyandarua — held by John Macharia Mw Angi,1
annex_45_school_0029,Nyandarua,,unknown,school_land_grabbed,Public school land grabbed: Nyandarua,Francis Muthee Kiige,,Central Province,1.00,Revoke,1,650,annex_45_ministry_of_education_science_technology.csv,,none,School land: Nyandarua — held by Francis Muthee Kiige,1
annex_45_school_0030,Nyandarua,,unknown,school_land_grabbed,Public school land grabbed: Nyandarua,Neighbours,,Central Province,,Revoke,1,650,annex_45_ministry_of_education_science_technology.csv,,none,School land: Nyandarua — held by Neighbours,1
annex_45_school_0031,Nyandarua,,unknown,school_land_grabbed,Public school land grabbed: Nyandarua,Church Commission for Kenya,,Central Province,5.00,Revoke,1,650,annex_45_ministry_of_education_science_technology.csv,,none,School land: Nyandarua — held by Church Commission for Kenya,1
annex_45_school_0032,Nyandarua,,unknown,school_land_grabbed,Public school land grabbed: Nyandarua,Ol Kalou Central Farmers Co-Or Society,,Central Province,2.00,Revoke,1,650,annex_45_ministry_of_education_science_technology.csv,,none,School land: Nyandarua — held by Ol Kalou Central Farmers Co-Or Society,1
annex_45_school_0033,Nyandarua,,unknown,school_land_grabbed,Public school land grabbed: Nyandarua,Wambui Kihuro,,Central Province,3.00,Revoke,1,650,annex_45_ministry_of_education_science_technology.csv,,none,School land: Nyandarua — held by Wambui Kihuro,1
annex_45_school_0034,Nyandarua,,unknown,school_land_grabbed,Public school land grabbed: Nyandarua,Matura Group & Mwichingi Muniu,,Central Province,3.00,Revoke,1,650,annex_45_ministry_of_education_science_technology.csv,,none,School land: Nyandarua — held by Matura Group & Mwichingi Muniu,1
annex_45_school_0035,Nyandarua,,unknown,school_land_grabbed,Public school land grabbed: Nyandarua,Amani Pry,,Central Province,,Revoke,1,650,annex_45_ministry_of_education_science_technology.csv,,none,School land: Nyandarua — held by Amani Pry,1
annex_45_school_0036,Nyandarua,,unknown,school_land_grabbed,Public school land grabbed: Nyandarua,"Donors Kimani,Thegethi,Wanyiri",,Central Province,3.00,Revoke,1,650,annex_45_ministry_of_education_science_technology.csv,,none,"School land: Nyandarua — held by Donors Kimani,Thegethi,Wanyiri",1
annex_45_school_0037,Nyandarua,,unknown,school_land_grabbed,Public school land grabbed: Nyandarua,Joram Gaikia Thumbi,,Central Province,4.00,Revoke,1,650,annex_45_ministry_of_education_science_technology.csv,,none,School land: Nyandarua — held by Joram Gaikia Thumbi,1
annex_45_school_0038,Nyandarua,,unknown,school_land_grabbed,Public school land grabbed: Nyandarua,Joseph Gakuu & Johana Karanja,,Central Province,4.00,Revoke,1,651,annex_45_ministry_of_education_science_technology.csv,,none,School land: Nyandarua — held by Joseph Gakuu & Johana Karanja,1
annex_45_school_0039,Nyandarua,,unknown,school_land_grabbed,Public school land grabbed: Nyandarua,Julius Kariuki Mw Aniki,,Central Province,16.00,Revoke,1,651,annex_45_ministry_of_education_science_technology.csv,,none,School land: Nyandarua — held by Julius Kariuki Mw Aniki,1
annex_45_school_0040,Nyandarua,,unknown,school_land_grabbed,Public school land grabbed: Nyandarua,J.W Rukungu,,Central Province,3.00,Revoke,1,651,annex_45_ministry_of_education_science_technology.csv,,none,School land: Nyandarua — held by J.W Rukungu,1
annex_45_school_0041,Nyandarua,,unknown,school_land_grabbed,Public school land grabbed: Nyandarua,"Chege Macharia Plot No, 174",,Central Province,1.00,Revoke,1,651,annex_45_ministry_of_education_science_technology.csv,,none,"School land: Nyandarua — held by Chege Macharia Plot No, 174",1
annex_45_school_0042,Nyandarua,,unknown,school_land_grabbed,Public school land grabbed: Nyandarua,Neighbours,,Central Province,,Revoke,1,651,annex_45_ministry_of_education_science_technology.csv,,none,School land: Nyandarua — held by Neighbours,1
annex_45_school_0043,Nyandarua,,unknown,school_land_grabbed,Public school land grabbed: Nyandarua,Peter Mwangi Wamburi,,Central Province,,Revoke,1,651,annex_45_ministry_of_education_science_technology.csv,,none,School land: Nyandarua — held by Peter Mwangi Wamburi,1
annex_45_school_0044,Nyandarua,,unknown,school_land_grabbed,Public school land grabbed: Nyandarua,Former Councillor,,Central Province,3.00,Revoke,1,651,annex_45_ministry_of_education_science_technology.csv,,none,School land: Nyandarua — held by Former Councillor,1
annex_45_school_0045,Nyandarua,,unknown,school_land_grabbed,Public school land grabbed: Nyandarua,John Macharia Mwangi,,Central Province,11.00,Revoke,1,651,annex_45_ministry_of_education_science_technology.csv,,none,School land: Nyandarua — held by John Macharia Mwangi,1
annex_45_school_0046,Nyandarua,,unknown,school_land_grabbed,Public school land grabbed: Nyandarua,Francis Muthee Kiige,,Central Province,1.00,Revoke,1,651,annex_45_ministry_of_education_science_technology.csv,,none,School land: Nyandarua — held by Francis Muthee Kiige,1
annex_45_school_0047,Nyandarua,,unknown,school_land_grabbed,Public school land grabbed: Nyandarua,Neighbours,,Central Province,,Revoke,1,651,annex_45_ministry_of_education_science_technology.csv,,none,School land: Nyandarua — held by Neighbours,1
annex_45_school_0048,Nyandarua,,unknown,school_land_grabbed,Public school land grabbed: Nyandarua,Church Commission For Kenya A,,Central Province,5.0,Revoke,1,652,annex_45_ministry_of_education_science_technology.csv,,none,School land: Nyandarua — held by Church Commission For Kenya A,1
annex_45_school_0049,Nyandarua,,unknown,school_land_grabbed,Public school land grabbed: Nyandarua,Ol Kalou Central Farmers Co-Op Society,,Central Province,2.00,Revoke,1,652,annex_45_ministry_of_education_science_technology.csv,,none,School land: Nyandarua — held by Ol Kalou Central Farmers Co-Op Society,1
annex_45_school_0050,Nyandarua,,unknown,school_land_grabbed,Public school land grabbed: Nyandarua,Wambui Kihuro,,Central Province,3.00,Revoke,1,652,annex_45_ministry_of_education_science_technology.csv,,none,School land: Nyandarua — held by Wambui Kihuro,1
annex_45_school_0051,Nyandarua,,unknown,school_land_grabbed,Public school land grabbed: Nyandarua,Matura Group & Mwichingi Muniu,,Central Province,3.00,Revoke,1,652,annex_45_ministry_of_education_science_technology.csv,,none,School land: Nyandarua — held by Matura Group & Mwichingi Muniu,1
annex_45_school_0052,Nyandarua,,unknown,school_land_grabbed,Public school land grabbed: Nyandarua,Plot 84 South Kinangop,,Central Province,,Revoke,1,652,annex_45_ministry_of_education_science_technology.csv,,none,School land: Nyandarua — held by Plot 84 South Kinangop,1
annex_45_school_0053,Nyandarua,,unknown,school_land_grabbed,Public school land grabbed: Nyandarua,Joran Gaikia Thumbi,,Central Province,4.00,Revoke,1,652,annex_45_ministry_of_education_science_technology.csv,,none,School land: Nyandarua — held by Joran Gaikia Thumbi,1
annex_45_school_0054,Nyeri,,unknown,school_land_grabbed,Public school land grabbed: Nyeri,Waraza Cooperative Society,,Central Province,3.00,Revoke,1,652,annex_45_ministry_of_education_science_technology.csv,,none,School land: Nyeri — held by Waraza Cooperative Society,1
annex_45_school_0055,Nyeri,,unknown,school_land_grabbed,Public school land grabbed: Nyeri,John Kigira and Gichuli Kibiragei,,Central Province,,Revoke,1,652,annex_45_ministry_of_education_science_technology.csv,,none,School land: Nyeri — held by John Kigira and Gichuli Kibiragei,1
annex_45_school_0056,Nyeri,,unknown,school_land_grabbed,Public school land grabbed: Nyeri,Bisho Gatimu Centre,,Central Province,1.00,Revoke,1,652,annex_45_ministry_of_education_science_technology.csv,,none,School land: Nyeri — held by Bisho Gatimu Centre,1
annex_45_school_0057,Nyeri,,unknown,school_land_grabbed,Public school land grabbed: Nyeri,J.Githinji/Kaburu Gathombo,,Central Province,,Revoke,1,653,annex_45_ministry_of_education_science_technology.csv,,none,School land: Nyeri — held by J.Githinji/Kaburu Gathombo,1
annex_45_school_0058,Nyeri,,unknown,school_land_grabbed,Public school land grabbed: Nyeri,Alp.Ca,,Central Province,1.00,Revoke,1,653,annex_45_ministry_of_education_science_technology.csv,,none,School land: Nyeri — held by Alp.Ca,1
annex_45_school_0059,Nyeri,,unknown,school_land_grabbed,Public school land grabbed: Nyeri,Mwanamwini & Juma Hamad,,Central Province,,Revoke,1,653,annex_45_ministry_of_education_science_technology.csv,,none,School land: Nyeri — held by Mwanamwini & Juma Hamad,1
annex_45_school_0060,School Neighbours,,unknown,school_land_grabbed,Public school land grabbed: School Neighbours,School Neighbours,,Central Province,,Revoke,1,653,annex_45_ministry_of_education_science_technology.csv,,none,School land: School Neighbours — held by School Neighbours,0
annex_45_school_0061,Thika,,unknown,school_land_grabbed,Public school land grabbed: Thika,Fahmi All Swedan,,Central Province,2.00,Revoke,1,653,annex_45_ministry_of_education_science_technology.csv,,none,School land: Thika — held by Fahmi All Swedan,1
annex_45_school_0062,Thika,,unknown,school_land_grabbed,Public school land grabbed: Thika,Betty Kern & Pemba Channel,,Central Province,4.00,Revoke,1,653,annex_45_ministry_of_education_science_technology.csv,,none,School land: Thika — held by Betty Kern & Pemba Channel,1
annex_45_school_0063,Kilifi,,unknown,school_land_grabbed,Public school land grabbed: Kilifi,Crustacea Processors Ltd,,Coast Province,12.00,Revoke,1,653,annex_45_ministry_of_education_science_technology.csv,,none,School land: Kilifi — held by Crustacea Processors Ltd,1
annex_45_school_0064,Kwale,,unknown,school_land_grabbed,Public school land grabbed: Kwale,Krystalline Salt Works ltd,,Coast Province,1.00,Revoke,1,653,annex_45_ministry_of_education_science_technology.csv,,none,School land: Kwale — held by Krystalline Salt Works ltd,1
annex_45_school_0065,Lamu,,unknown,school_land_grabbed,Public school land grabbed: Lamu,Mulwa Anuari,,Coast Province,,Revoke,1,653,annex_45_ministry_of_education_science_technology.csv,,none,School land: Lamu — held by Mulwa Anuari,1
annex_45_school_0066,Malindi,,unknown,school_land_grabbed,Public school land grabbed: Malindi,Chakama Branch,,Coast Province,,Revoke,1,654,annex_45_ministry_of_education_science_technology.csv,,none,School land: Malindi — held by Chakama Branch,1
annex_45_school_0067,Malindi,,unknown,school_land_grabbed,Public school land grabbed: Malindi,Kadhunoni Pry,,Coast Province,,Revoke,1,654,annex_45_ministry_of_education_science_technology.csv,,none,School land: Malindi — held by Kadhunoni Pry,1
annex_45_school_0068,Malindi,,unknown,school_land_grabbed,Public school land grabbed: Malindi,Shree Swaminara yan,,Coast Province,10.00,Revoke,1,654,annex_45_ministry_of_education_science_technology.csv,,none,School land: Malindi — held by Shree Swaminara yan,1
annex_45_school_0069,Malindi,,unknown,school_land_grabbed,Public school land grabbed: Malindi,Turf Developers Ltd,,Coast Province,5.00,Revoke,1,654,annex_45_ministry_of_education_science_technology.csv,,none,School land: Malindi — held by Turf Developers Ltd,1
annex_45_school_0070,Malindi,,unknown,school_land_grabbed,Public school land grabbed: Malindi,Total K Ltd/Zubedi/Others,,Coast Province,,Revoke,1,654,annex_45_ministry_of_education_science_technology.csv,,none,School land: Malindi — held by Total K Ltd/Zubedi/Others,1
annex_45_school_0071,Malindi,,unknown,school_land_grabbed,Public school land grabbed: Malindi,Krystalline salt works ltd,,Coast Province,10.00,Revoke,1,654,annex_45_ministry_of_education_science_technology.csv,,none,School land: Malindi — held by Krystalline salt works ltd,1
annex_45_school_0072,Malindi,,unknown,school_land_grabbed,Public school land grabbed: Malindi,Mulwa Anuari,,Coast Province,5.00,Revoke,1,654,annex_45_ministry_of_education_science_technology.csv,,none,School land: Malindi — held by Mulwa Anuari,1
annex_45_school_0073,Malindi,,unknown,school_land_grabbed,Public school land grabbed: Malindi,Chakama Branch,,Coast Province,,Revoke,1,654,annex_45_ministry_of_education_science_technology.csv,,none,School land: Malindi — held by Chakama Branch,1
annex_45_school_0074,Mombasa,,unknown,school_land_grabbed,Public school land grabbed: Mombasa,Mosque,,Coast Province,8.00,Revoke,1,654,annex_45_ministry_of_education_science_technology.csv,,none,School land: Mombasa — held by Mosque,1
annex_45_school_0075,Mombasa,,unknown,school_land_grabbed,Public school land grabbed: Mombasa,Full Gospel Churches Of Kenya,,Coast Province,,Revoke,1,654,annex_45_ministry_of_education_science_technology.csv,,none,School land: Mombasa — held by Full Gospel Churches Of Kenya,1
annex_45_school_0076,Mombasa,,unknown,school_land_grabbed,Public school land grabbed: Mombasa,Joseph Mashombo,,Coast Province,3.00,Revoke,1,655,annex_45_ministry_of_education_science_technology.csv,,none,School land: Mombasa — held by Joseph Mashombo,1
annex_45_school_0077,Mombasa,,unknown,school_land_grabbed,Public school land grabbed: Mombasa,Amritlal K.Shah,,Coast Province,5.00,Revoke,1,655,annex_45_ministry_of_education_science_technology.csv,,none,School land: Mombasa — held by Amritlal K.Shah,1
annex_45_school_0078,Mombasa,,unknown,school_land_grabbed,Public school land grabbed: Mombasa,Elizabeth And Antony Ikamba,,Coast Province,,Revoke,1,655,annex_45_ministry_of_education_science_technology.csv,,none,School land: Mombasa — held by Elizabeth And Antony Ikamba,1
annex_45_school_0079,Mdundonyi Prl Sch,,unknown,school_land_grabbed,Public school land grabbed: Mdundonyi Prl Sch,Mdundonyi Prl Sch,,Coast Province,1.00,Revoke,1,655,annex_45_ministry_of_education_science_technology.csv,,none,School land: Mdundonyi Prl Sch — held by Mdundonyi Prl Sch,0
annex_45_school_0080,Embu,,unknown,school_land_grabbed,Public school land grabbed: Embu,"Misheck Njiru,Nothern Zone,Plot",,Eastern Province,1.00,Revoke,1,655,annex_45_ministry_of_education_science_technology.csv,,none,"School land: Embu — held by Misheck Njiru,Nothern Zone,Plot",1
annex_45_school_0081,Dr.Kimanl(School Neighbour),,unknown,school_land_grabbed,Public school land grabbed: Dr.Kimanl(School Neighbour),Dr.Kimanl(School Neighbour),,Eastern Province,,Revoke,1,655,annex_45_ministry_of_education_science_technology.csv,,none,School land: Dr.Kimanl(School Neighbour) — held by Dr.Kimanl(School Neighbour),0
annex_45_school_0082,Embu,,unknown,school_land_grabbed,Public school land grabbed: Embu,Jash Gakuru,,Eastern Province,1.00,Revoke,1,655,annex_45_ministry_of_education_science_technology.csv,,none,School land: Embu — held by Jash Gakuru,1
annex_45_school_0083,Embu,,unknown,school_land_grabbed,Public school land grabbed: Embu,"Nos Of Those Plots,T199 Ebson",,Eastern Province,,Revoke,1,655,annex_45_ministry_of_education_science_technology.csv,,none,"School land: Embu — held by Nos Of Those Plots,T199 Ebson",1
annex_45_school_0084,Kitui,,unknown,school_land_grabbed,Public school land grabbed: Kitui,Nzomo Niwatha,,Eastern Province,7.00,Revoke,1,655,annex_45_ministry_of_education_science_technology.csv,,none,School land: Kitui — held by Nzomo Niwatha,1
annex_45_school_0085,Kitui,,unknown,school_land_grabbed,Public school land grabbed: Kitui,Felix Kithokoo Kivovu,,Eastern Province,1.00,Revoke,1,656,annex_45_ministry_of_education_science_technology.csv,,none,School land: Kitui — held by Felix Kithokoo Kivovu,1
annex_45_school_0086,Machakos,,unknown,school_land_grabbed,Public school land grabbed: Machakos,Mutua Wasunl,,Eastern Province,,Revoke,1,656,annex_45_ministry_of_education_science_technology.csv,,none,School land: Machakos — held by Mutua Wasunl,1
annex_45_school_0087,Machakos,,unknown,school_land_grabbed,Public school land grabbed: Machakos,Aic Church,,Eastern Province,1,Revoke,1,656,annex_45_ministry_of_education_science_technology.csv,,none,School land: Machakos — held by Aic Church,1
annex_45_school_0088,Machakos,,unknown,school_land_grabbed,Public school land grabbed: Machakos,James Munyao,,Eastern Province,,Revoke,1,656,annex_45_ministry_of_education_science_technology.csv,,none,School land: Machakos — held by James Munyao,1
annex_45_school_0089,Mbeere,,unknown,school_land_grabbed,Public school land grabbed: Mbeere,Stephen Karing'o,,Eastern Province,4.00,Revoke,1,656,annex_45_ministry_of_education_science_technology.csv,,none,School land: Mbeere — held by Stephen Karing'o,1
annex_45_school_0090,Mbeere,,unknown,school_land_grabbed,Public school land grabbed: Mbeere,Embu County Council,,Eastern Province,17.00,Revoke,1,656,annex_45_ministry_of_education_science_technology.csv,,none,School land: Mbeere — held by Embu County Council,1
annex_45_school_0091,Mbeere,,unknown,school_land_grabbed,Public school land grabbed: Mbeere,"Agnes Wegando Muthike,Richard Mugo",,Eastern Province,4.00,Revoke,1,656,annex_45_ministry_of_education_science_technology.csv,,none,"School land: Mbeere — held by Agnes Wegando Muthike,Richard Mugo",1
annex_45_school_0092,Meru Central,,unknown,school_land_grabbed,Public school land grabbed: Meru Central,Nahaman M'mwarania,,Eastern Province,1.00,Revoke,1,656,annex_45_ministry_of_education_science_technology.csv,,none,School land: Meru Central — held by Nahaman M'mwarania,1
annex_45_school_0093,Meru Central,,unknown,school_land_grabbed,Public school land grabbed: Meru Central,"Gerald Kirimi,Julius Kinoti",,Eastern Province,1.00,Revoke,1,656,annex_45_ministry_of_education_science_technology.csv,,none,"School land: Meru Central — held by Gerald Kirimi,Julius Kinoti",1
annex_45_school_0094,Meru Central,,unknown,school_land_grabbed,Public school land grabbed: Meru Central,Joshua Kinyua Kirimania,,Eastern Province,5.00,Revoke,1,656,annex_45_ministry_of_education_science_technology.csv,,none,School land: Meru Central — held by Joshua Kinyua Kirimania,1
annex_45_school_0095,Meru Central,,unknown,school_land_grabbed,Public school land grabbed: Meru Central,Francis Mwongera,,Eastern Province,3.00,Revoke,1,656,annex_45_ministry_of_education_science_technology.csv,,none,School land: Meru Central — held by Francis Mwongera,1
annex_45_school_0096,Meru Central,,unknown,school_land_grabbed,Public school land grabbed: Meru Central,Karanl Njue,,Eastern Province,6.00,Revoke,1,657,annex_45_ministry_of_education_science_technology.csv,,none,School land: Meru Central — held by Karanl Njue,1
annex_45_school_0097,Meru Central,,unknown,school_land_grabbed,Public school land grabbed: Meru Central,Alp C Church,,Eastern Province,2.00,Revoke,1,657,annex_45_ministry_of_education_science_technology.csv,,none,School land: Meru Central — held by Alp C Church,1
annex_45_school_0098,Meru Central,,unknown,school_land_grabbed,Public school land grabbed: Meru Central,"Meru County Council, M'limungi",,Eastern Province,18.00,Revoke,1,657,annex_45_ministry_of_education_science_technology.csv,,none,"School land: Meru Central — held by Meru County Council, M'limungi",1
annex_45_school_0099,Tharaka,,unknown,school_land_grabbed,Public school land grabbed: Tharaka,"Sons Of Mutori Mwenda, And Meeni Kairiba",,Eastern Province,20.00,Revoke,1,657,annex_45_ministry_of_education_science_technology.csv,,none,"School land: Tharaka — held by Sons Of Mutori Mwenda, And Meeni Kairiba",1
annex_45_school_0100,Homa Bay,,unknown,school_land_grabbed,Public school land grabbed: Homa Bay,Grace Akiny Mary,,Nyanza Province,5.00,Revoke,1,657,annex_45_ministry_of_education_science_technology.csv,,none,School land: Homa Bay — held by Grace Akiny Mary,1
annex_45_school_0101,St Francis Technical Institute,,unknown,school_land_grabbed,Public school land grabbed: St Francis Technical Institute,St Francis Technical Institute,,Nyanza Province,0.00,Revoke,1,657,annex_45_ministry_of_education_science_technology.csv,,none,School land: St Francis Technical Institute — held by St Francis Technical Institute,0
annex_45_school_0102,Homa Bay,,unknown,school_land_grabbed,Public school land grabbed: Homa Bay,F.G.Ck. Church,,Nyanza Province,5.00,Revoke,1,657,annex_45_ministry_of_education_science_technology.csv,,none,School land: Homa Bay — held by F.G.Ck. Church,1
annex_45_school_0103,Kisii,,unknown,school_land_grabbed,Public school land grabbed: Kisii,"David Orina Ndemo No. 1027,Julius",,Nyanza Province,3.00,Revoke,1,657,annex_45_ministry_of_education_science_technology.csv,,none,"School land: Kisii — held by David Orina Ndemo No. 1027,Julius",1
annex_45_school_0104,Kisii,,unknown,school_land_grabbed,Public school land grabbed: Kisii,Onyancha Demo No.1051,,Nyanza Province,15.00,Revoke,1,657,annex_45_ministry_of_education_science_technology.csv,,none,School land: Kisii — held by Onyancha Demo No.1051,1
annex_45_school_0105,Kisii,,unknown,school_land_grabbed,Public school land grabbed: Kisii,"P Askiria Obonyo Obare, Abel",,Nyanza Province,1.00,Revoke,1,658,annex_45_ministry_of_education_science_technology.csv,,none,"School land: Kisii — held by P Askiria Obonyo Obare, Abel",1
annex_45_school_0106,Kisii,,unknown,school_land_grabbed,Public school land grabbed: Kisii,"Nyakundi,Gisemba Abuga,Mokobi Areri",,Nyanza Province,,Revoke,1,658,annex_45_ministry_of_education_science_technology.csv,,none,"School land: Kisii — held by Nyakundi,Gisemba Abuga,Mokobi Areri",1
annex_45_school_0107,Kisii,,unknown,school_land_grabbed,Public school land grabbed: Kisii,Bogeni Nyadege,,Nyanza Province,1.00,Revoke,1,658,annex_45_ministry_of_education_science_technology.csv,,none,School land: Kisii — held by Bogeni Nyadege,1
annex_45_school_0108,Kisii,,unknown,school_land_grabbed,Public school land grabbed: Kisii,Paul Ratemo,,Nyanza Province,1.00,Revoke,1,658,annex_45_ministry_of_education_science_technology.csv,,none,School land: Kisii — held by Paul Ratemo,1
